智悲,,,,,,,,,,
 届别,课程,类别,统计方式,传承,法本,共修,次数,时长,总时长,共修时间
前行,第56修法 皈依分类,观修,次数时长,0,0,0,4,30,120,3/2/2018
前行,第57修法 思维功德,观修,次数时长,0,0,0,4,30,120,3/9/2018
前行,第58修法 皈依方法,观修,次数时长,0,0,0,4,30,120,3/16/2018
前行,第59修法 思维功德生起欢喜,观修,次数时长,0,0,0,4,30,120,6/1/2018
前行,第60修法 修舍无量心,观修,次数时长,0,0,0,4,30,120,6/8/2018
前行,第61修法 修慈无量心,观修,次数时长,0,0,0,4,30,120,6/15/2018
前行,第62修法 修悲无量心,观修,次数时长,0,0,0,4,30,120,6/22/2018
前行,第63修法 修喜无量心,观修,次数时长,0,0,0,4,30,120,6/29/2018
前行,第64修法 修炼,观修,次数时长,0,0,0,4,30,120,7/6/2018
前行,第65修法 思维利益,观修,次数时长,0,0,0,4,30,120,7/13/2018
前行,第66修法 顶礼支,观修,次数时长,0,0,0,4,30,120,7/20/2018
前行,第67修法 供养支,观修,次数时长,0,0,0,4,30,120,7/27/2018
前行,第68修法 忏悔支,观修,次数时长,0,0,0,4,30,120,8/3/2018
前行,第69修法 随喜支,观修,次数时长,0,0,0,4,30,120,8/10/2018
前行,第70修法 请转法轮支,观修,次数时长,0,0,0,4,30,120,8/17/2018
前行,第71修法 请不涅槃支,观修,次数时长,0,0,0,4,30,120,8/24/2018
前行,第72修法 回向支,观修,次数时长,0,0,0,4,30,120,8/31/2018
前行,第73修法 正行,观修,次数时长,0,0,0,4,30,120,9/7/2018
前行,第74修法 修自他平等菩提心,观修,次数时长,0,0,0,4,30,120,12/1/2018
前行,第75修法 修自他相换菩提心,观修,次数时长,0,0,0,4,30,120,12/8/2018
前行,第76修法 修自轻他重菩提心,观修,次数时长,0,0,0,4,30,120,12/15/2018
前行,第77修法 布施度,观修,次数时长,0,0,0,4,30,120,12/22/2018
前行,第78修法 本体,观修,次数时长,0,0,0,4,30,120,12/29/2018
前行,第79修法 清净行境,观修,次数时长,0,0,0,4,30,120,1/5/2019
前行,第80修法 观修大士八大发心,观修,次数时长,0,0,0,4,30,120,1/12/2019
前行,第81修法 有缘之安忍,观修,次数时长,0,0,0,4,30,120,1/19/2019
前行,第82修法 无缘之安忍,观修,次数时长,0,0,0,4,30,120,1/26/2019
前行,第83修法 精进度,观修,次数时长,0,0,0,4,30,120,2/2/2019
前行,第84修法 思维变化无常之自性,观修,次数时长,0,0,0,4,30,120,2/9/2019
前行,第85修法 思维贪欲之过患,观修,次数时长,0,0,0,4,30,120,2/16/2019
前行,第86修法 思维与凡夫交往之过患,观修,次数时长,0,0,0,4,30,120,2/23/2019
前行,第87修法 思维愦闹之过患,观修,次数时长,0,0,0,4,30,120,3/2/2019
前行,第88修法 思维静处功德,观修,次数时长,0,0,0,4,30,120,3/9/2019
前行,第89修法 真实修持静虑,观修,次数时长,0,0,0,4,30,120,3/16/2019
前行,第90修法 显现观为幻化八喻,观修,次数时长,0,0,0,4,30,120,3/23/2019
前行,第91修法 观察法性空性,观修,次数时长,0,0,0,4,30,120,3/30/2019
前行,第92修法 安住于离边中观之义中,观修,次数时长,0,0,0,4,30,120,4/6/2019
